education_level,family_occupation,mobility_constraint,interest_area,NSQF_trade_label
No formal education,Farming,High,Carpentry,Electrician
5th pass,Weaving,High,Tailoring,Tailoring
12th pass,Farming,High,Food Processing,Food Processing
No formal education,Farming,Low,Electrical work,Electrician
12th pass,None,Low,Electrical work,Food Processing
5th pass,Carpentry,High,Carpentry,Tailoring
5th pass,Carpentry,Medium,Carpentry,Electrician
5th pass,Tailoring,Low,Tailoring,Tailoring
10th pass,Farming,Medium,Carpentry,Carpenter
No formal education,Carpentry,High,Tailoring,Tailoring
10th pass,Farming,High,Carpentry,Carpenter
12th pass,Weaving,High,Tailoring,Tailoring
No formal education,Weaving,Medium,Tailoring,Tailoring
5th pass,Farming,Medium,Carpentry,Food Processing
8th pass,Weaving,Medium,Carpentry,Electrician
8th pass,Farming,High,Electrical work,Electrician
5th pass,Carpentry,Medium,Carpentry,Electrician
8th pass,Farming,Low,Tailoring,Tailoring
8th pass,Carpentry,Medium,Tailoring,Tailoring
5th pass,None,High,Carpentry,Electrician
10th pass,Carpentry,High,Food Processing,Food Processing
5th pass,Tailoring,Low,Electrical work,Tailoring
12th pass,None,Medium,Food Processing,Food Processing
12th pass,Carpentry,Medium,Electrical work,Electrician
12th pass,Carpentry,Low,Tailoring,Tailoring
No formal education,Weaving,High,Electrical work,Food Processing
12th pass,Farming,Medium,Food Processing,Food Processing
12th pass,Carpentry,High,Carpentry,Tailoring
No formal education,None,Medium,Carpentry,Tailoring
8th pass,Carpentry,Low,Food Processing,Food Processing
No formal education,Tailoring,High,Electrical work,Tailoring
12th pass,Farming,High,Carpentry,Electrician
5th pass,Tailoring,Low,Tailoring,Tailoring
12th pass,Tailoring,Medium,Tailoring,Tailoring
No formal education,Tailoring,Medium,Electrical work,Tailoring
No formal education,Weaving,High,Tailoring,Tailoring
No formal education,Carpentry,Low,Electrical work,Electrician
10th pass,None,Low,Carpentry,Food Processing
5th pass,None,High,Electrical work,Carpenter
10th pass,Tailoring,Medium,Food Processing,Food Processing
No formal education,Weaving,Low,Tailoring,Tailoring
8th pass,Farming,High,Electrical work,Electrician
No formal education,Farming,High,Tailoring,Tailoring
5th pass,Farming,Low,Carpentry,Tailoring
12th pass,Weaving,Medium,Food Processing,Food Processing
5th pass,None,Low,Food Processing,Food Processing
5th pass,Carpentry,Medium,Electrical work,Tailoring
No formal education,Carpentry,Medium,Food Processing,Food Processing
10th pass,Carpentry,High,Tailoring,Tailoring
No formal education,Farming,Medium,Carpentry,Tailoring
5th pass,Weaving,Low,Food Processing,Food Processing
5th pass,Carpentry,Low,Carpentry,Food Processing
5th pass,Farming,Medium,Tailoring,Tailoring
No formal education,None,Low,Tailoring,Tailoring
5th pass,Weaving,Medium,Food Processing,Food Processing
10th pass,Weaving,Medium,Tailoring,Tailoring
5th pass,Carpentry,Low,Food Processing,Food Processing
8th pass,Carpentry,Medium,Food Processing,Food Processing
12th pass,Carpentry,Low,Electrical work,Carpenter
5th pass,Farming,High,Tailoring,Tailoring
8th pass,Farming,Low,Food Processing,Food Processing
12th pass,None,Low,Tailoring,Tailoring
12th pass,Farming,Low,Tailoring,Tailoring
12th pass,Farming,High,Electrical work,Food Processing
No formal education,None,Low,Tailoring,Tailoring
12th pass,Farming,Medium,Carpentry,Carpenter
5th pass,Tailoring,Low,Carpentry,Tailoring
10th pass,Weaving,High,Carpentry,Food Processing
8th pass,Farming,Low,Food Processing,Food Processing
12th pass,None,Low,Tailoring,Tailoring
12th pass,Weaving,High,Carpentry,Electrician
8th pass,Farming,Low,Carpentry,Carpenter
5th pass,Carpentry,High,Carpentry,Tailoring
12th pass,Tailoring,High,Tailoring,Tailoring
5th pass,Tailoring,Low,Tailoring,Tailoring
